"Queue","Critical Unassigned","Stalled Intake","Stale","Waiting External","Unassigned","Total Flagged"
"Diverzify","0","6","13","48","0","67"
"Tier 1","0","4","18","43","0","65"
"Tier 2","0","0","13","20","0","33"
"PC Refresh & Repair","0","0","2","12","0","14"
"Alerts","0","0","1","8","0","9"
"Security","0","2","2","0","0","4"
"Tier 3 | Infrastructure","0","0","1","1","0","2"
"Diverzify Infrastructure Support","0","0","0","1","0","1"
"Field Service Request","0","0","0","1","0","1"
"O&C","0","1","0","0","0","1"
"ITW Shakeproof","0","0","0","1","0","1"
"New","0","1","0","0","0","1"
"Business Continuity","0","1","0","0","0","1"
"Total","0","15","50","135","0","200"
